symbol,entry_price,entry_time,exit_price,exit_time,quantity,position_size,pnl_value,pnl_percent,hold_days,exit_reason,partial
SOLUSDT,101.87,2024-01-09 04:00:00,92.12,2024-01-12 20:00:00,1.9632865416707568,200.0,-19.14204378128988,-9.57102189064494,3,"STOP_LOSS_EARLY (Day 3, -8%)",False
SOLUSDT,93.6,2024-02-01 00:00:00,110.67,2024-02-10 00:00:00,1.0683760683760684,100.0,18.237179487179496,18.237179487179496,9,"TP1 (Day 9, +15%)",True
SOLUSDT,93.6,2024-02-01 00:00:00,104.21,2024-02-12 08:00:00,1.0683760683760684,100.0,11.335470085470085,11.335470085470085,11,"TRAILING_STOP (Day 11, -5% from high)",False
SHIBUSDT,1.694e-05,2024-02-15 20:00:00,1.55e-05,2024-02-17 00:00:00,23612750.885478158,400.0,-34.00236127508854,-8.500590318772137,1,"STOP_LOSS_EARLY (Day 1, -8%)",False
DOGEUSDT,0.08294,2024-02-14 08:00:00,0.09596,2024-02-27 12:00:00,2411.381721726549,200.0,31.39619001687968,15.698095008439841,13,"TP1 (Day 13, +15%)",True
DOGEUSDT,0.08294,2024-02-14 08:00:00,0.11305,2024-02-28 16:00:00,2411.381721726549,200.0,72.60670364118639,36.3033518205932,14,"TP2 (Day 14, +30%)",False
SHIBUSDT,1.825e-05,2024-03-02 00:00:00,1.679e-05,2024-03-05 00:00:00,21917808.219178084,400.0,-31.999999999999993,-7.999999999999997,3,"STOP_LOSS_EARLY (Day 3, -8%)",False
SOLUSDT,139.18,2024-03-05 12:00:00,119.24,2024-03-05 16:00:00,1.4369880729989941,200.0,-28.65354217559996,-14.32677108779998,0,"STOP_LOSS_EARLY (Day 0, -8%)",False
DOGEUSDT,0.13559,2024-03-01 16:00:00,0.16768,2024-03-08 16:00:00,1475.035032082012,200.0,47.33387417951178,23.666937089755887,7,"TP1 (Day 7, +15%)",True
DOGEUSDT,0.13559,2024-03-01 16:00:00,0.16457,2024-03-08 20:00:00,1475.035032082012,200.0,42.746515229736715,21.37325761486836,7,"TRAILING_STOP (Day 7, -5% from high)",False
SOLUSDT,197.96,2024-04-01 04:00:00,179.87,2024-04-02 08:00:00,1.0103051121438673,200.0,-18.276419478682563,-9.138209739341283,1,"STOP_LOSS_EARLY (Day 1, -8%)",False
DOGEUSDT,0.19562,2024-04-07 00:00:00,0.16906,2024-04-12 16:00:00,2044.7806972702178,400.0,-54.309375319496986,-13.577343829874247,5,"STOP_LOSS_EARLY (Day 5, -8%)",False
SHIBUSDT,1.373e-05,2024-04-01 16:00:00,1.316e-05,2024-04-13 00:00:00,29133284.7778587,400.0,-16.605972323379497,-4.151493080844874,11,"STOP_LOSS (Day 11, -3%)",False
DOGEUSDT,0.15807,2024-05-04 08:00:00,0.14324,2024-05-08 20:00:00,2530.52445119251,400.0,-37.52767761118488,-9.381919402796218,4,"STOP_LOSS_EARLY (Day 4, -8%)",False
SOLUSDT,153.99,2024-05-06 08:00:00,140.13,2024-05-13 00:00:00,1.298785635430872,200.0,-18.001168907071904,-9.000584453535952,6,"STOP_LOSS_EARLY (Day 6, -8%)",False
SHIBUSDT,1.859e-05,2024-05-17 16:00:00,1.708e-05,2024-05-20 20:00:00,21516944.59386767,400.0,-32.4905863367402,-8.12264658418505,3,"STOP_LOSS_EARLY (Day 3, -8%)",False
SHIBUSDT,1.829e-05,2024-06-01 16:00:00,1.656e-05,2024-06-06 00:00:00,21869874.248223074,400.0,-37.83488244942589,-9.458720612356473,4,"STOP_LOSS_EARLY (Day 4, -8%)",False
DOGEUSDT,0.16303,2024-06-06 12:00:00,0.14821,2024-06-07 16:00:00,2453.536158989143,400.0,-36.3614058762191,-9.090351469054776,1,"STOP_LOSS_EARLY (Day 1, -8%)",False
SOLUSDT,167.91,2024-06-04 12:00:00,153.39,2024-06-11 04:00:00,1.1911142874158775,200.0,-17.294979453278554,-8.647489726639277,6,"STOP_LOSS_EARLY (Day 6, -8%)",False
SOLUSDT,148.39,2024-07-02 12:00:00,134.38,2024-07-04 04:00:00,1.3477997169620595,200.0,-18.88267403463844,-9.44133701731922,1,"STOP_LOSS_EARLY (Day 1, -8%)",False
SHIBUSDT,3.285e-05,2024-07-16 00:00:00,2.996e-05,2024-07-17 12:00:00,12176560.121765602,400.0,-35.19025875190256,-8.79756468797564,1,"STOP_LOSS_EARLY (Day 1, -8%)",False
DOGEUSDT,0.12745,2024-07-20 04:00:00,0.12295,2024-07-31 16:00:00,3138.485680659082,400.0,-14.123185562965881,-3.5307963907414703,11,"STOP_LOSS (Day 11, -3%)",False
SOLUSDT,144.4,2024-08-23 12:00:00,133.32,2024-08-30 12:00:00,1.3850415512465373,200.0,-15.34626038781165,-7.673130193905825,7,"STOP_LOSS (Day 7, -3%)",False
